Município,Código,Gentílico,Prefeito [2017],Área Territorial - km2 [2020],População estimada - pessoas [2021],Densidade demográfica - hab/km2 [2010],Escolarização 6 a 14 anos % [2010],IDHM Índice de desenvolvimento humano municipal [2010],Mortalidade infantil - óbitos por mil nascidos vivos [2019],Receitas realizadas - R$ (X1000) [2017],Despesas empenhadas - R$ (X1000) [2017],PIB per capita - R$ [2018],
Guaramiranga,2305100,guaramiranguense,ROBERLANDIA FERREIRA CASTELO BRANCO,90.817,5073,70.06,97.6,0.637,14.93,32183.19369,20840.76729,16087.25,
Hidrolândia,2305209,hidrolandense,IRES MOURA OLIVEIRA,926.587,20126,19.99,98,0.597,3.92,40945.08241,37985.57052,7036.69,
Horizonte,2305233,horizontino,MANOEL GOMES DE FARIAS NETO,160.557,69688,344.96,97.1,0.658,4.1,193783.1808,175778.48186,25783.29,
Ibaretama,2305266,ibaretamense,ELIRIA MARIA FREITAS DE QUEIROZ,879.255,13385,14.73,95.4,0.577,9.85,28682.80626,28828.38628,7090.65,
Ibiapina,2305308,ibiapinense,MARCOS ANTONIO DA SILVA LIMA,414.092,25165,57.38,98.5,0.608,7.98,51973.94305,46606.54475,11277.09,
Ibicuitinga,2305332,ibicuitinguense,FRANCISCO JOSÉ MAGALHÃES CARNEIRO,423.856,12730,26.72,97.9,0.606,-,32884.86905,28419.81875,7109.47,
Icapuí,2305357,icapuiense,RAIMUNDO LACERDA FILHO,421.440,20183,43.43,96.8,0.616,16.33,93890.53522,82328.16553,17060.80,
Icó,2305407,icoense,ANA LAÍS PEIXOTO CORREIA NUNES,1865.862,68303,34.97,96.7,0.606,6.72,121888.3251,120450.04181,8126.78,
Iguatu,2305506,iguatuense,EDNALDO DE LAVOR COURAS,992.208,103633,93.76,96.8,0.677,8.77,217787.90904,200741.43321,15624.21,
Independência,2305605,independenciano,JOSE VALDI COUTINHO,3222.381,26196,7.95,97.6,0.632,22.47,50895.19251,47668.2617,8950.81,
Ipaporanga,2305654,ipaporanguense,ANTONIO AMARO PEREIRA OLIVEIRA,704.773,11597,16.16,97.2,0.579,-,31035.32593,31543.55553,6478.06,
Ipaumirim,2305704,ipaumirinense,WILSON ALVES DE FREITAS,276.508,12507,43.86,96.7,0.606,6.8,26749.06499,26533.50603,9122.59,
Ipu,2305803,ipuense,ROBERIO WAGNER MARTINS MOREIRA,626.049,42148,64.03,97.3,0.618,8.94,95058.00809,85477.94975,9341.60,
Ipueiras,2305902,ipueirense,FRANCISCO SOUTO DE VASCONCELOS JÚNIOR,1483.258,38064,25.63,98.1,0.573,10.35,85184.00785,78943.66079,6430.39,
Iracema,2306009,iracemense,CELSO GOMES DA SILVA NETO,839.174,14351,16.71,98,0.652,5.65,43144.92393,43284.80094,9756.96,
Irauçuba,2306108,irauçubense,PATRÍCIA MARIA SANTOS BARRETO,1466.412,24450,15.28,95.2,0.605,11.11,57618.57886,51199.17333,6665.39,
Itaiçaba,2306207,itaiçabense,FRANK GOMES FREITAS,213.604,7904,34.49,99.5,0.656,21.74,24405.74731,21829.31688,8245.31,
Itaitinga,2306256,Itaitinguense,PAULO CESAR FEITOSA ARRAIS,153.686,38661,236.51,91.4,0.626,7.43,100395.80561,91053.8776,17804.80,
Itapajé,2306306,itapajeense,MARIA GORETE BARROSO MAGALHAES CAETANO,432.188,53448,110.01,97.1,0.623,5.13,113391.49212,101400.18181,10664.27,
Itapipoca,2306405,itapipoquense,FELIPE SOUZA PINHEIRO,1600.358,131687,71.90,97.9,0.640,9.52,268626.66471,239926.54933,12863.49,
Itapiúna,2306504,itapiunense,FRANCISCO DÁRIO DE OLIVEIRA COELHO,593.231,20653,31.64,95.3,0.604,22.52,65456.73673,45448.28476,6523.57,
Itarema,2306553,itaremense,ELIZEU CHARLES MONTEIRO,714.833,42595,52.00,96.6,0.606,14.06,100102.24161,93239.96143,17804.20,
Itatira,2306603,itatirense,JOSÉ FERREIRA MATEUS,829.626,22018,24.12,97.6,0.562,15.24,76025.83975,60600.42204,5888.14,
