MUNICIPIO;NATUREZA DO FATO;ARMA UTILIZADA;SEXO;IDADE;DATA
MORADA NOVA;HOMICIDIO DOLOSO;ARMA DE FOGO;F;31;2019-01-31
QUIXERAMOBIM;HOMICIDIO DOLOSO;ARMA DE FOGO;M;31;2019-01-31
FORTALEZA;HOMICIDIO DOLOSO;ARMA DE FOGO;M;37;2019-01-31
FORTALEZA;HOMICIDIO DOLOSO;ARMA DE FOGO;F;32;2019-01-31
PENAFORTE;HOMICIDIO DOLOSO;ARMA DE FOGO;M;49;2019-01-31
QUIXERAMOBIM;HOMICIDIO DOLOSO;ARMA DE FOGO;F;22;2019-01-31
ALTO SANTO;HOMICIDIO DOLOSO;ARMA DE FOGO;M;43;2019-10-01
ALTO SANTO;HOMICIDIO DOLOSO;ARMA DE FOGO;M;30;2019-10-01
CAUCAIA;HOMICIDIO DOLOSO;ARMA DE FOGO;M;20;2019-10-01
CRATO;HOMICIDIO DOLOSO;ARMA DE FOGO;M;23;2019-10-01
FORTALEZA;HOMICIDIO DOLOSO;ARMA DE FOGO;M;16;2019-10-02
FORTALEZA;HOMICIDIO DOLOSO;ARMA DE FOGO;M;23;2019-10-02
FORTALEZA;HOMICIDIO DOLOSO;ARMA DE FOGO;M;21;2019-10-02
MARACANAU;HOMICIDIO DOLOSO;ARMA DE FOGO;M;17;2019-10-02
FORTALEZA;HOMICIDIO DOLOSO;ARMA DE FOGO;F;51;2019-10-02
FORTALEZA;HOMICIDIO DOLOSO;ARMA DE FOGO;M;20;2019-10-03
FORTALEZA;HOMICIDIO DOLOSO;OUTROS;M;19;2019-10-03
CAUCAIA;HOMICIDIO DOLOSO;ARMA DE FOGO;M;48;2019-10-03
FORTALEZA;HOMICIDIO DOLOSO;ARMA DE FOGO;M;21;2019-10-04
ARACOIABA;HOMICIDIO DOLOSO;OUTROS;M;36;2019-10-04
JUAZEIRO DO NORTE;HOMICIDIO DOLOSO;ARMA DE FOGO;M;46;2019-10-05
BARREIRA;HOMICIDIO DOLOSO;OUTROS;M;46;2019-10-05
FORTALEZA;HOMICIDIO DOLOSO;ARMA DE FOGO;M;46;2019-10-05
SOBRAL;HOMICIDIO DOLOSO;ARMA DE FOGO;M;26;2019-10-05
FORTALEZA;HOMICIDIO DOLOSO;ARMA DE FOGO;M;27;2019-10-05
FORTALEZA;HOMICIDIO DOLOSO;ARMA DE FOGO;M;22;2019-10-05
SANTANA DO ACARAU;HOMICIDIO DOLOSO;ARMA BRANCA;M;68;2019-10-05
PACATUBA;HOMICIDIO DOLOSO;ARMA DE FOGO;M;17;2019-10-05
SOLONOPOLE;HOMICIDIO DOLOSO;ARMA DE FOGO;M;35;2019-10-06
COREAU;HOMICIDIO DOLOSO;ARMA DE FOGO;M;22;2019-10-06
FORTALEZA;HOMICIDIO DOLOSO;ARMA DE FOGO;M;45;2019-10-06
ARACOIABA;HOMICIDIO DOLOSO;ARMA DE FOGO;M;49;2019-10-06
CAUCAIA;HOMICIDIO DOLOSO;ARMA DE FOGO;M;26;2019-10-06
FORTALEZA;HOMICIDIO DOLOSO;ARMA DE FOGO;M;22;2019-10-06
QUIXERE;LESAO CORPORAL SEGUIDA DE MORTE;OUTROS;M;66;2019-10-06
GENERAL SAMPAIO;HOMICIDIO DOLOSO;ARMA BRANCA;M;72;2019-10-06
ARACATI;FEMINICIDIO;ARMA BRANCA;F;25;2019-10-06
FORTALEZA;FEMINICIDIO;ARMA DE FOGO;F;2;2019-10-06
FORTALEZA;HOMICIDIO DOLOSO;ARMA DE FOGO;M;25;2019-10-06
CAUCAIA;HOMICIDIO DOLOSO;ARMA BRANCA;M;24;2019-10-07
SOBRAL;HOMICIDIO DOLOSO;ARMA BRANCA;M;28;2019-10-07
FORTALEZA;HOMICIDIO DOLOSO;ARMA DE FOGO;M;46;2019-10-07
FORTALEZA;HOMICIDIO DOLOSO;ARMA DE FOGO;M;36;2019-10-07
CARIRE;HOMICIDIO DOLOSO;ARMA DE FOGO;M;;2019-10-08
FORTALEZA;HOMICIDIO DOLOSO;ARMA DE FOGO;M;39;2019-10-08
TABULEIRO DO NORTE;HOMICIDIO DOLOSO;ARMA DE FOGO;M;19;2019-10-09
CAUCAIA;HOMICIDIO DOLOSO;ARMA DE FOGO;M;28;2019-10-09
QUIXERAMOBIM;HOMICIDIO DOLOSO;ARMA DE FOGO;F;19;2019-10-10
GUARAMIRANGA;HOMICIDIO DOLOSO;ARMA DE FOGO;M;24;2019-10-10
PACATUBA;HOMICIDIO DOLOSO;ARMA DE FOGO;F;;2019-10-10
FORTALEZA;HOMICIDIO DOLOSO;ARMA DE FOGO;M;35;2019-10-10
NOVO ORIENTE;HOMICIDIO DOLOSO;ARMA DE FOGO;M;34;2019-10-10
FORTALEZA;HOMICIDIO DOLOSO;ARMA DE FOGO;M;22;2019-10-10
FORTALEZA;HOMICIDIO DOLOSO;ARMA DE FOGO;M;30;2019-10-10
FORTALEZA;HOMICIDIO DOLOSO;OUTROS;M;41;2019-10-11
FORTALEZA;HOMICIDIO DOLOSO;ARMA DE FOGO;M;23;2019-10-11
FORTALEZA;HOMICIDIO DOLOSO;ARMA DE FOGO;M;26;2019-10-11
SANTANA DO ACARAU;HOMICIDIO DOLOSO;ARMA BRANCA;M;53;2019-10-11
JUAZEIRO DO NORTE;HOMICIDIO DOLOSO;ARMA DE FOGO;M;33;2019-10-11
ACARAPE;HOMICIDIO DOLOSO;ARMA DE FOGO;M;34;2019-10-11
FORTALEZA;HOMICIDIO DOLOSO;ARMA DE FOGO;M;31;2019-10-12
CHORO;HOMICIDIO DOLOSO;ARMA DE FOGO;M;26;2019-10-12
GUAIUBA;HOMICIDIO DOLOSO;ARMA DE FOGO;M;23;2019-10-12
FORTALEZA;HOMICIDIO DOLOSO;ARMA BRANCA;M;20;2019-10-12
CRATO;HOMICIDIO DOLOSO;ARMA DE FOGO;M;31;2019-10-12
SALITRE;FEMINICIDIO;ARMA BRANCA;F;22;2019-10-12
SOBRAL;HOMICIDIO DOLOSO;ARMA DE FOGO;M;24;2019-10-12
CAUCAIA;HOMICIDIO DOLOSO;ARMA DE FOGO;M;26;2019-10-12
CAUCAIA;HOMICIDIO DOLOSO;ARMA DE FOGO;M;22;2019-10-12
QUIXERE;HOMICIDIO DOLOSO;ARMA DE FOGO;M;28;2019-10-12
MORADA NOVA;HOMICIDIO DOLOSO;ARMA DE FOGO;M;45;2019-10-13
TRAIRI;HOMICIDIO DOLOSO;ARMA DE FOGO;M;22;2019-10-13
MARACANAU;HOMICIDIO DOLOSO;ARMA DE FOGO;M;17;2019-10-13
VICOSA DO CEARA;HOMICIDIO DOLOSO;OUTROS;M;23;2019-10-13
ACARAU;HOMICIDIO DOLOSO;ARMA DE FOGO;M;24;2019-10-13
JUAZEIRO DO NORTE;HOMICIDIO DOLOSO;ARMA DE FOGO;M;58;2019-10-13
IPU;ROUBO SEGUIDO DE MORTE (LATROCINIO);ARMA BRANCA;M;20;2019-10-13
AQUIRAZ;HOMICIDIO DOLOSO;ARMA DE FOGO;M;34;2019-10-13
BEBERIBE;HOMICIDIO DOLOSO;ARMA DE FOGO;M;67;2019-10-14
PORTEIRAS;HOMICIDIO DOLOSO;ARMA DE FOGO;M;30;2019-10-14
FORTALEZA;HOMICIDIO DOLOSO;ARMA DE FOGO;M;16;2019-10-14
CAUCAIA;ROUBO SEGUIDO DE MORTE (LATROCINIO);ARMA DE FOGO;F;22;2019-10-14
EUSEBIO;HOMICIDIO DOLOSO;ARMA DE FOGO;M;23;2019-10-15
MARACANAU;HOMICIDIO DOLOSO;OUTROS;M;;2019-10-15
SOBRAL;HOMICIDIO DOLOSO;ARMA DE FOGO;M;25;2019-10-15
FORTALEZA;HOMICIDIO DOLOSO;ARMA DE FOGO;M;18;2019-10-15
PACATUBA;HOMICIDIO DOLOSO;ARMA DE FOGO;M;16;2019-10-15
FORTALEZA;HOMICIDIO DOLOSO;ARMA DE FOGO;M;39;2019-10-15
MARANGUAPE;ROUBO SEGUIDO DE MORTE (LATROCINIO);ARMA DE FOGO;M;62;2019-10-15
FORTALEZA;HOMICIDIO DOLOSO;ARMA DE FOGO;M;41;2019-10-16
ITAREMA;HOMICIDIO DOLOSO;ARMA DE FOGO;M;16;2019-10-16
MARACANAU;HOMICIDIO DOLOSO;ARMA DE FOGO;M;28;2019-10-16
PACATUBA;HOMICIDIO DOLOSO;ARMA DE FOGO;M;52;2019-10-17
CANINDE;HOMICIDIO DOLOSO;ARMA DE FOGO;M;15;2019-10-17
TAUA;HOMICIDIO DOLOSO;ARMA DE FOGO;M;17;2019-10-17
CAUCAIA;HOMICIDIO DOLOSO;ARMA DE FOGO;M;22;2019-10-17
EUSEBIO;HOMICIDIO DOLOSO;ARMA DE FOGO;M;77;2019-10-17
FORTALEZA;HOMICIDIO DOLOSO;ARMA DE FOGO;F;15;2019-10-17
FORTALEZA;HOMICIDIO DOLOSO;OUTROS;M;39;2019-10-18
GUAIUBA;HOMICIDIO DOLOSO;ARMA DE FOGO;M;48;2019-10-18
IPUEIRAS;HOMICIDIO DOLOSO;ARMA DE FOGO;F;49;2019-10-18
IGUATU;HOMICIDIO DOLOSO;ARMA BRANCA;M;;2019-10-18
FORTALEZA;HOMICIDIO DOLOSO;ARMA DE FOGO;M;37;2019-10-18
URUOCA;HOMICIDIO DOLOSO;ARMA DE FOGO;M;36;2019-10-19
FORTALEZA;HOMICIDIO DOLOSO;ARMA DE FOGO;M;;2019-10-19
FORTALEZA;HOMICIDIO DOLOSO;ARMA DE FOGO;M;;2019-10-19
SOBRAL;HOMICIDIO DOLOSO;ARMA DE FOGO;M;21;2019-10-19
CAUCAIA;HOMICIDIO DOLOSO;ARMA DE FOGO;F;;2019-10-19
AQUIRAZ;FEMINICIDIO;ARMA DE FOGO;F;38;2019-10-19
EUSEBIO;HOMICIDIO DOLOSO;ARMA DE FOGO;M;19;2019-10-19
GRANJA;HOMICIDIO DOLOSO;ARMA BRANCA;M;50;2019-10-19
GUAIUBA;HOMICIDIO DOLOSO;ARMA BRANCA;F;;2019-10-19
ASSARE;HOMICIDIO DOLOSO;ARMA BRANCA;M;28;2019-10-20
PORTEIRAS;HOMICIDIO DOLOSO;ARMA BRANCA;M;21;2019-10-20
